"filename", "language", "JavaScript", "Markdown", "HTML", "JSON", "PostCSS", "XML", "JavaScript JSX", "comment", "blank", "total"
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\README.md", "Markdown", 0, 144, 0, 0, 0, 0, 0, 1, 45, 190
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 8, 17
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\index.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\package-lock.json", "JSON", 0, 0, 0, 4450, 0, 0, 0, 0, 1, 4451
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\package.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 59, 2, 14, 75
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\api\chat.api.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 21, 156
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\api\group.api.js", "JavaScript", 239, 0, 0, 0, 0, 0, 0, 3, 39, 281
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\api\message.api.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 0, 19, 158
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\api\notification.api.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\api\request.api.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 13, 87
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\api\user.api.js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 2, 19, 198
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\guards\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 7, 19
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\guards\ProtectedRouteAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 5, 17
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\message\FileUpload.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 12, 106
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\message\MediaPreview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 194, 9, 19, 222
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\message\Message.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 831, 42, 68, 941
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\message\MessageInfoModel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 138, 7, 10, 155
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\message\SingleFilePreview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 100, 6, 13, 119
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\ChatCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 214, 22, 23, 259
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\ChatList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 129, 10, 16, 155
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\ChatWindow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 161, 8, 20, 189
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\CreateGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 13, 100
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\GroupInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 647, 75, 80, 802
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\Notification.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 187, 77, 56, 320
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\NotificationCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 306, 40, 20, 366
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 407, 16, 36, 459
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\components\user\Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 7, 39
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\constants\socketEvents.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\context\AuthProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 7, 25
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\hooks\useGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 7, 43
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\hooks\useNotification.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 9, 50
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\hooks\useRequest.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 52, 6, 16, 74
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\index.css", "PostCSS", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\pages\auth\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 98, 11, 17, 126
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\pages\auth\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 110, 13, 20, 143
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\pages\user\Chat.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 930, 29, 93, 1052
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\pages\user\GroupInfoMain.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 541, 14, 70, 625
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\pages\user\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 457, 14, 61, 532
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\pages\user\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 205, 10, 38, 253
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\services\getTime.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 0, 8
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\services\isThisLink.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\handlers\chat.handler.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\handlers\error.handler.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 1, 8
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\handlers\group.handler.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 8, 27
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\handlers\message.handler.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 9, 32, 96
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\handlers\notification.handler.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\handlers\onlineStatus.handler.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 2, 3, 25
